Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,Pk SO scorer,GK PK SO saves
Egypt,2022-03-25,Nabil Dunga,1,MF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2022-03-25,Mohamed Salah,90,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2022-03-25,Mohamed Elneny,90,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2022-03-25,Amro El Soulia,90,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2022-03-25,Hamdy Fathy,90,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2022-03-25,Ahmed Aboul-Fotouh,90,LB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2022-03-25,El Wensh,90,CB,0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA
Egypt,2022-03-25,Mohamed Abdelmoneim,38,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2022-03-25,Yasser Ibrahim,52,DF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2022-03-25,Omar Gaber,90,RB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2022-03-25,Mohamed El-Shenawy,90,GK,0,0,,0,0,,,,0,0,0,0,,,NA,0
Egypt,2022-03-29,Omar Marmoush,69,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2022-03-29,Mostafa Mohamed,51,FW,0,0,,0,0,,,,1,0,0,1,NA,NA,0,NA
Egypt,2022-03-29,Trézéguet,69,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2022-03-29,Ahmed Sayed,51,MF,0,0,,0,0,,,,0,0,0,1,NA,NA,0,NA
Egypt,2022-03-29,Mohamed Salah,120,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,0,NA
