Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Canada,2021-07-18,Kamal Miller,90,CB,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-18,Steven Vitória,90,CB,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-18,Alistair Johnston,90,CB,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-18,Maxime Crépeau,90,GK,0,0,,0,0,0,0,0,0,0,0,1,0,0.0,0,NA,0
Canada,2021-07-25,Lucas Cavallini,83,FW,0,0,,0,0,2,0,2,1,0,0,0,NA,NA,NA,NA,NA
Canada,2021-07-25,Doneil Henry,7,DF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-07-25,Jonathan Osorio,84,FW,0,0,,0,0,2,0,1,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-07-25,Liam Fraser,6,MF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-07-25,Junior Hoilett,69,FW,1,0,,0,0,2,2,2,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-07-25,Tesho Akindele,21,"FW,MF",0,0,,0,0,2,1,0,1,0,0,0,NA,NA,NA,NA,NA
Canada,2021-07-25,Richie Laryea,90,LM,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-07-25,Mark-Anthony Kaye,69,CM,0,0,,0,0,2,0,1,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-07-25,Samuel Piette,21,MF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-07-25,Stephen Eustáquio,90,CM,1,1,,0,0,2,1,3,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-07-25,Tajon Buchanan,87,RM,0,0,,0,0,1,0,4,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-07-25,Theo Corbeanu,3,"FW,MF",0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-07-25,Kamal Miller,90,CB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-07-25,Steven Vitória,90,CB,0,0,,0,0,2,1,0,1,0,0,0,NA,NA,NA,NA,NA
Canada,2021-07-25,Alistair Johnston,90,CB,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-07-25,Maxime Crépeau,90,GK,0,0,,0,0,0,0,0,0,0,0,0,0,,0,NA,0
Mexico,2021-07-29,Rogelio Funes Mori,90,FW,0,0,,0,0,4,2,0,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-07-29,Orbelín Pineda,77,FW,1,0,,1,1,1,1,1,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-07-29,Rodolfo Pizarro,13,"DF,FW",0,1,,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-07-29,Jesús Corona,89,FW,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-07-29,Néstor Araujo,1,DF,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-07-29,Héctor Herrera,90,LM,1,0,,0,0,4,2,1,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-07-29,Edson Álvarez,90,CM,0,0,,0,0,1,0,2,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-07-29,Jonathan dos Santos,60,CM,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-07-29,Erick Gutiérrez,30,MF,0,0,,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-07-29,Luis Alfonso Rodríguez,90,RM,0,0,,0,0,0,0,2,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-07-29,Jesús Gallardo,90,CB,0,0,,0,0,1,0,1,1,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-07-29,Héctor Moreno,90,CB,0,0,,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-07-29,Carlos Salcedo,90,CB,0,0,,0,1,1,1,2,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-07-29,Alfredo Talavera,90,GK,0,0,,0,0,0,0,0,0,0,0,1,2,66.7,0,NA,0
Canada,2021-07-29,Tesho Akindele,68,FW,0,0,,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA
Canada,2021-07-29,Theo Corbeanu,22,"FW,MF",0,0,,0,0,1,1,0,0,0,0,2,NA,NA,NA,NA,NA
Canada,2021-07-29,Jonathan Osorio,90,FW,0,0,,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
Canada,2021-07-29,Junior Hoilett,90,FW,0,0,,0,0,2,0,1,1,0,0,2,NA,NA,NA,NA,NA
Canada,2021-07-29,Richie Laryea,90,LM,0,0,,0,0,1,0,1,0,0,0,2,NA,NA,NA,NA,NA
Canada,2021-07-29,Mark-Anthony Kaye,77,CM,0,1,,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
